UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,id,Machine failure.1,rule_tachycardia,rule_tachypnea,rule_temp,rule_wbc,clinical_flag,meets_clinical_rule,failure,clinical_risk_score,thermal_gradient,power_estimate,wear_rate_indicator,operating_regime,seq_index,time_since_last_failure,temp_stability,wear_acceleration,operating_hours_proxy,Type_encoded
1,M14860,M,298.1,308.6,1551,42.8,0,0,136429.0,0.005779303,False,False,False,False,0,False,0,False,10.5,6.951806471881871,0.0,1,0,[1.],0.0,0.0,0.0,2
2,L47181,L,298.2,308.7,1408,46.3,3,0,136430.0,0.012966465,False,False,False,False,0,False,0,False,10.5,6.826934757566237,0.0021291696238466998,1,0,[1.],0.0,0.0,0.05,1
3,L47182,L,298.1,308.5,1498,49.4,5,0,136431.0,0.004958784,False,False,False,False,0,False,0,False,10.399999999999977,7.749628233322861,0.00333555703802535,1,0,[1.],0.0,0.0,0.08333333333333333,1
4,L47183,L,298.2,308.6,1433,39.5,7,0,136432.0,0.007902521,False,False,False,False,0,False,0,False,10.400000000000034,5.92768876322128,0.0048814504881450485,1,0,[1.],0.0,0.0,0.11666666666666667,1
5,L47184,L,298.2,308.7,1408,40.0,9,0,136433.0,0.00691982,False,False,False,False,0,False,0,False,10.5,5.8979997905539845,0.0063875088715401,1,0,[1.],0.0,0.0,0.15,1
6,M14865,M,298.1,308.6,1425,41.9,11,0,136434.0,0.043729432,False,False,False,False,0,False,0,False,10.5,6.252748978950676,0.007713884992987377,1,0,[1.],0.0,0.0,0.18333333333333332,2
7,L47186,L,298.1,308.6,1558,42.4,14,0,136435.0,0.019245786,False,False,False,False,0,False,0,False,10.5,6.917918106608021,0.008980115458627326,1,0,[1.],0.0,0.0,0.23333333333333334,1
8,L47187,L,298.1,308.6,1527,40.2,16,0,136436.0,0.009972786,False,False,False,False,0,False,0,False,10.5,6.428463713477851,0.010471204188481676,1,0,[1.],0.0,0.0,0.26666666666666666,1
9,M14868,M,298.3,308.7,1667,28.6,18,0,136437.0,0.004624398,False,False,False,False,0,False,0,False,10.399999999999977,4.99279505707404,0.01079136690647482,1,0,[1.],0.0,0.0,0.3,2
10,M14869,M,298.5,309.0,1741,28.0,21,0,136438.0,0.010220576,False,False,False,False,0,False,0,False,10.5,5.105037176667714,0.012055109070034443,1,0,[1.],0.0,0.0,0.35,2
11,H29424,H,298.4,308.9,1782,23.9,24,0,136439.0,0.006434887,False,False,False,False,0,False,0,False,10.5,4.4601319509896316,0.01346045989904655,1,0,[1.],0.0,0.0,0.4,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,136440.0,0.007361944,False,False,False,False,0,False,0,False,10.5,6.601623206618494,0.020365168539325844,1,0,[1.],0.0,0.0,0.48333333333333334,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,136441.0,0.005098995,False,False,False,False,0,False,0,False,10.5,7.165451879777988,0.025373134328358207,1,0,[1.],0.0,0.0,0.5666666666666667,2
14,M14873,M,298.6,309.2,1742,30.0,37,0,136442.0,0.003835635,False,False,False,False,0,False,0,False,10.599999999999966,5.4728243795161795,0.021227768215720023,1,0,[1.],0.0,0.0,0.6166666666666667,2
15,L47194,L,298.6,309.2,2035,19.6,40,0,136443.0,0.005651754,False,False,False,False,0,False,0,False,10.599999999999966,4.176981882919677,0.019646365422396856,1,0,[1.],0.0,0.0,0.6666666666666666,1
16,L47195,L,298.6,309.2,1542,48.4,42,0,136444.0,0.013350109,False,False,False,False,0,False,0,False,10.599999999999966,7.815771284951304,0.027219701879455604,1,0,[1.],0.0,0.0,0.7,1
17,M14876,M,298.6,309.2,1311,46.6,44,0,136445.0,0.004883447,False,False,False,False,0,False,0,False,10.599999999999966,6.397800816839459,0.03353658536585366,1,0,[1.],0.0,0.0,0.7333333333333333,2
18,M14877,M,298.7,309.2,1410,45.6,47,0,136446.0,0.956746838,False,False,False,False,0,False,0,False,10.5,6.7332704995287465,0.03330970942593905,1,0,[1.],0.0,0.0,0.7833333333333333,2
19,H29432,H,298.8,309.2,1306,54.5,50,0,136447.0,0.003842019,False,False,False,False,0,False,0,False,10.399999999999977,7.4538695151324745,0.03825554705432287,1,0,[1.],0.0,0.0,0.8333333333333334,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,136448.0,0.005011258,False,False,False,False,0,False,0,False,10.400000000000034,5.554508325479108,0.03368034292712799,1,0,[1.],0.0,0.0,0.9166666666666666,2
21,H29434,H,298.9,309.3,1375,42.7,58,0,136449.0,0.019262475,False,False,False,False,0,False,0,False,10.400000000000034,6.148549586344121,0.04215116279069767,1,0,[1.],0.0,0.0,0.9666666666666667,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,136450.0,0.005418102,False,False,False,False,0,False,0,False,10.5,6.80280657660488,0.043418332184700204,1,0,[1.],0.0,0.0,1.05,1
23,M14882,M,298.9,309.3,1581,30.7,65,0,136451.0,0.019685772,False,False,False,False,0,False,0,False,10.400000000000034,5.082909205152371,0.04108723135271808,1,0,[1.],0.0,0.0,1.0833333333333333,2
24,L47203,L,299.0,309.4,1758,25.7,68,0,136452.0,0.156103633,False,False,False,False,0,False,0,False,10.399999999999977,4.731448319195727,0.038658328595793066,1,0,[1.],0.0,0.0,1.1333333333333333,1
25,M14884,M,299.0,309.4,1561,37.3,70,0,136453.0,0.009113862,False,False,False,False,0,False,0,False,10.399999999999977,6.097528537019583,0.04481434058898848,1,0,[1.],0.0,0.0,1.1666666666666667,2
26,L47205,L,299.0,309.5,1861,23.3,73,0,136454.0,0.004778197,False,False,False,False,0,False,0,False,10.5,4.54092575138758,0.03920515574650913,1,0,[1.],0.0,0.0,1.2166666666666666,1
27,L47206,L,299.1,309.5,1512,39.0,75,0,136455.0,0.004578129,False,False,False,False,0,False,0,False,10.399999999999977,6.175306314797361,0.0495703899537343,1,0,[1.],0.0,0.0,1.25,1
28,H29441,H,299.1,309.4,1811,24.6,77,0,136456.0,0.006623084,False,False,False,False,0,False,0,False,10.299999999999955,4.665472824379517,0.04249448123620309,1,0,[1.],0.0,0.0,1.2833333333333334,0
29,L47208,L,299.1,309.4,1439,44.2,82,0,136457.0,0.007344343,False,False,False,False,0,False,0,False,10.299999999999955,6.660781233637031,0.05694444444444444,1,0,[1.],0.0,0.0,1.3666666666666667,1
30,L47209,L,299.0,309.4,1693,30.1,84,0,136458.0,0.008087321,False,False,False,False,0,False,0,False,10.399999999999977,5.336611163472615,0.049586776859504134,1,0,[1.],0.0,0.0,1.4,1
31,M14890,M,299.1,309.5,1339,48.2,86,0,136459.0,0.042678193,False,False,False,False,0,False,0,False,10.399999999999977,6.758801968792544,0.06417910447761194,1,0,[1.],0.0,0.0,1.4333333333333333,2
32,L47211,L,299.0,309.4,1798,25.5,89,0,136460.0,0.022336765,False,False,False,False,0,False,0,False,10.399999999999977,4.801445177505498,0.049471928849360754,1,0,[1.],0.0,0.0,1.4833333333333334,1
33,L47212,L,299.0,309.4,1419,48.3,91,0,136461.0,0.005504613,False,False,False,False,0,False,0,False,10.399999999999977,7.177474081055608,0.06408450704225352,1,0,[1.],0.0,0.0,1.5166666666666666,1
34,L47213,L,298.9,309.3,1665,32.5,93,0,136462.0,0.073969664,False,False,False,False,0,False,0,False,10.400000000000034,5.666823751178134,0.05582232893157263,1,0,[1.],0.0,0.0,1.55,1
